,node0,node1,weight
1193,safe,reliable,2
1194,safe,safer,1
1195,safe,right,2
1196,safe,well,2
1197,safe,respectable,2
1198,safe,insured,2
1199,safe,safety,1
1200,safe,honorable,2
1201,safe,stronger,2
1202,safe,proficient,2
1203,safe,dependable,1
1204,safe,effective,2
1205,safe,skillful,2
1206,silly,carefree,2
1207,silly,giddy,1
1208,silly,miserable,2
1209,silly,poor,2
1210,silly,pathetic,1
1211,silly,goofy,1
1212,silly,ridiculous,1
1213,silly,idiotic,2
1214,silly,lightheaded,1
1215,silly,dizzy,1
1216,silly,faint,2
1217,silly,laughable,2
1218,silly,pitiful,2
1219,silly,piteous,2
1220,ready,secure,2
1221,ready,giving,2
1222,ready,educated,2
1223,ready,pissed,2
